Desc
"그리팅, ‘2026 AI 채용 전략 리포트’ 발간"
'바다에서도 끊김 없이' 스타링크 확산…선원 복지·채용난 해법 될까
"그리팅, AI 채용 전략 리포트 발간…“채용 특화 솔루션 활용해야”"
"인천상의, 복권기금 재원 지난해 장애인 82명 일자리 제공"
"""신뢰도 떨어져"" 실망감 '폭발'…채용 담당자들 등 돌린 이유"
취업 눈높이 높아서 쉰다? 한국은행 “그건 오해”
"'쉬었음' 청년 중 45만명, 취업 원하지 않는다…6년새 16만명↑"
‘시장 일자리’로 정책 전환할 때다[포럼]
"아임웹, 대규모 채용…""입사자 전원 기본급 20%↑"""
배송기사도 52시간제 적용 가능해진다···근로자 추정제 추진
신입 공고↓·쉬는 청년↑...2026 채용 트렌드 세 가지
"채용담당자 73% ""이력서 평가에 AI 활용 기대"""
"넥센타이어, '존재감↑' 유럽 마케팅·물류·인사 등 핵심 인력 채용 확대"
월세·취업 이중고에 허리휘는 韓 청년들…日 닮아간다
취업 1년 늦춰진 ‘장백청’ 임금 7% 감소… “日 잃어버린 세대 닮아가”
[이코노미플러스]“대기업 갈래요” 청년 취업자 큰 기업 쏠림 심
"[리포트]민주당 ""통합특별법, 좋은 일자리 핵심⋯세제개편은 별도"""
"민간자격 6만 개 시대…취업용 자격증, ‘공신력’부터 따져야"
외국인 계절근로자 상반기 9.2만 명 배정…임금체불 보증 보험 의무화
농식품부 “농촌 시간제 일자리 늘리고 교통비 등 지원 확대”
"계절근로자 고용 농가, ‘농업인안전보험’ ‘임금체불 보증보험’ 가입 의무화"
